subclass	direct_parent	intermediate_nodes	rows
867	867		13
284	4745	284,4744	13
637	3820	637,3822	13
2214	1404	2214	13
737	737		13
1831	3448	118,1831,3444,3446	13
235	1327	235	13
1087	1087		13
3491	3488	3491	13
3410	4773	144,3410	13
2148	2159	2151	13
1775	1775		13
162	1456	162	13
1470	1489		13
1672	1196		13
405	4241	4240	13
395	4088		13
3709	3709		13
2586	2597		13
405	4185	4055	13
3997	4369		13
4740	4740		13
2853	2853		13
3113	3113		13
785	785		13
1831	3675	124,1831	12
3809	3813	3809	12
190	1705	190	12
1544	1143	26,1544,2209	12
2340	3053	2340	12
4024	4065	4024	12
905	905		12
893	893		12
803	803		12
913	913		12
1295	2971	1295,3027	12
405	4059	405,4055,4237	12
1066	1066		12
1551	2878	1551,2871	12
13	2620	13,60,347,1189,2402	12
1604	1968	1604,3424	12
1445	2194	1445	12
1295	3241	1295	12
909	909		12
738	738		12
1265	1265		12
189	3663	189,3357,3358	12
358	2569	358	12
4601	4601		12
3293	3293		12
1831	2522	118,2384,2494,2495,3487	12
13	3336	60,347,3335	12
988	988		12
162	171		12
1955	1955		12
331	3450	1102	12
3807	3807		12
331	1102		12
2461	2461		12
13	1938	1813	12
110	2263	110	12
3327	3181	3180,3327	11
2134	2172	2134,2137	11
262	1537	262,1989	11
1491	1494	1491	11
375	4536	375,474,4534	11
1091	3983	1091	11
324	1724	324,1461	11
324	1421	324	11
673	673		11
1283	1768	1283,1538	11
1551	2003	1551,2002,2930	11
3624	2905	3624	11
697	697		11
2489	2489		11
2147	2249	1904,2147	11
1908	2826	274,1763,1810,1908	11
1534	1294	1534,2802	11
2218	1681	1377,2218	11
4422	4422		11
349	349		11
1551	3547	1551	11
1027	3967		11
1534	4109	1534,1547	11
337	3647	3641	11
1535	3858		11
2067	4602		11
4826	4826		11
405	4245	4056	11
3193	3193		11
864	864		11
4447	4447		11
860	860		11
11	1848		11
637	3063	637,1773,3062,3819	11
1295	3240	3238	11
2218	1682	1377	11
4821	4821		11
110	2619	110,3041	11
1470	1474	1470	10
129	2278	129,1292,2509	10
2320	2767	2320,2764	10
3194	3271	3194,3201	10
405	4240		10
689	689		10
930	930		10
908	908		10
129	1605	129	10
1027	3967	1027	10
1000	1000		10
349	4583	349	10
927	927		10
1213	1374	1213	10
3696	3696		10
1002	1002		10
1295	3578	1295	10
1615	3502	1615	10
2823	2825	2823	10
95	4003	95,2329	10
176	4034	2565,4029	10
834	834		10
2217	2217		10
832	832		10
262	1531	1528,1989	10
2216	3842		10
4130	4130		10
2147	4795	1621	10
1529	4591	1529,4568	10
1153	1153		10
162	168	162	10
975	975		10
2300	2300		10
1550	3549	1550	10
3714	3714		10
3327	3177	1090,1328,3327	10
112	3296	116	10
3327	3185	3180,3183	10
3480	3478	3480	10
2221	3028		9
2724	2731	2724	9
405	4281	405	9
405	4237	405,4055	9
4789	1639	485,4789	9
1470	1479	1470	9
4039	4039		9
1550	3565	1550	9
3410	4763	3410,3522	9
2468	2470	2468	9
3292	3292		9
2991	2992	2991	9
1492	1495	1492	9
1831	2432	124,1831	9
1069	1069		9
324	1463	324	9
3216	3340	3216,3217	9
1550	1777	1550	9
1194	3557	1194	9
540	540		9
2290	2290		9
1551	351	1551	9
708	708		9
933	933		9
4248	4248		9
1111	2715	1111,1583,2710,3679	9
11	1500	11,1540	9
411	3879	411	9
3327	3225	1090,2960,3327	9
3327	3182	3180,3327	9
2134	2142	2134,2135	9
1125	1774	1125	9
967	967		9
1550	3545	1550	9
1932	1932		9
1194	2972	3026	9
1491	1752		9
2662	2662		9
2724	385		9
906	906		9
4247	4247		9
3734	3734		9
637	3064	1773,3062,3819	9
1091	4220	4219	9
1942	1942		9
3724	3731	3743	9
3470	3470		9
2724	2735	2732	9
1199	1199		9
4346	4346		9
4539	4539		9
4492	4492		9
2304	2304		9
544	544		9
777	777		9
1383	1383		9
2586	2598		9
1871	4689	2349,4687	9
4776	4779		9
2680	2193		9
2219	2101	1355,2219	9
3853	3321		9
3258	1089	1419	9
513	383		9
3392	1394	1427,3392	9
4439	4439		9
3327	4180	1090,2960,3224	9
1470	1488	1470	8
2134	2146	2134,2137	8
176	4035	176,2565,4029	8
1093	3223	376,475,1093,1662	8
2680	2745	2680	8
4079	4080	4079	8
4504	4084	362,4504	8
190	1708	190	8
7	4729	7	8
358	1533	149,358,2568	8
947	947		8
918	918		8
902	902		8
1204	3868	1204,2857	8
938	938		8
1068	1068		8
112	2392	112	8
190	1709	190	8
1027	4048	1027,3961	8
521	521		8
151	1600	151	8
1535	3854		8
13	3024	13,348	8
3020	3020		8
1093	4666	475,1093	8
1550	3581	1550,2004,3583	8
4789	4335	486,4789	8
3656	3656		8
2704	2705	2704	8
722	722		8
331	3908	1096	8
1551	4015	1551,1767,2999	8
2214	2688	1683,2214	8
35	3664		8
3077	3077		8
1551	2879	1551	8
1027	4048	3961	8
1470	1473		8
952	952		8
1612	3579	1827	8
910	910		8
849	849		8
1550	3563		8
639	639		8
662	662		8
3258	1436	1419	8
3258	1430	1419	8
3258	1433	1419	8
176	3538	176,1248,1251	7
1470	1475	1470	7
1027	4050	1027	7
1529	4568	1529	7
2468	2040	2468	7
848	848		7
2724	385	2724	7
1470	1487	1470	7
711	711		7
4766	4769	4766	7
4054	4054		7
523	523		7
881	881		7
1204	3662	1204	7
1551	3550	1551	7
1831	2437	1831,2433,3131	7
698	698		7
129	2510	129,1292,2509	7
1003	1003		7
2213	3828	2213	7
11	2816	11,215,374,2094	7
2288	2289	2288	7
2134	2175	2134,2173	7
816	816		7
1551	3783	1551,3782	7
1908	1809	274,1728	7
2449	4797	2449,3899,3924,4796	7
969	969		7
2991	2988	2991	7
80	2110	80	7
3711	3711		7
3391	3604		7
1961	1964	1961	7
148	1128		7
513	4814	513,514	7
2220	4264	1139,4254	7
11	4261	215,1258,1366,1697,3048,3049	7
1111	3554	1111,1583,3556,3680	7
			7
337	3505	3639	7
2822	2822		7
1961	2250	1961,1994	7
814	814		7
995	995		7
4040	4041		7
838	838		7
863	863		7
799	799		7
3760	3760		7
2216	2216		7
2061	2061		7
721	721		7
13	4260	60,347,2404,3441,4146	7
2401	2401		7
324	3661	1725	7
1470	3289	1470	6
395	4088	395	6
405	4238	405	6
1470	1486	1470	6
944	944		6
667	667		6
3364	3368	3364	6
922	922		6
1615	1759	1615	6
1766	1765	1766	6
2795	4571	2795,4570	6
1831	2522	118,1831,2384,2494,2495,3487	6
653	653		6
897	897		6
1551	2871	1551	6
1615	3587	1615	6
1831	3448	118,3444,3446	6
3194	4609	3194,4445	6
820	820		6
3410	1736	144,3410	6
1464	1464		6
513	1011	513	6
162	4412	162,168,173	6
3378	3375	3379	6
4586	4587	4586	6
678	678		6
1491	1993		6
2214	1406	2214	6
2213	1847	2213,3823	6
1379	2107		6
3191	3191		6
4588	4588		6
847	847		6
949	949		6
1470	1486		6
493	493		6
973	973		6
1435	1435		6
	3608		6
1908	2828	274,1762	6
2216	1298		6
2218	1407	2218	6
1551	4153	1551	6
2079	2079		6
3126	3126		6
2544	2544		6
1551	3561		6
637	3344	637	6
4127	4127		6
110	2283	110	6
110	2694	110	6
2147	4795	1621,2147	5
353	1221	353	5
1053	1053		5
1572	3383	1572	5
11	2255	11,1540,1541	5
1831	1376	124,1831	5
1286	2698	135,1286,2696	5
1286	2624	136,1286	5
1470	1485	1470	5
1470	1489	1470	5
1295	3229	1295	5
2468	2471	2468	5
176	4750	176,2565	5
3914	3429	3914	5
3835	3835		5
129	2513	129,1292,2509,2512	5
1093	4512	1093,1165,4684,4816	5
1572	3382	1572	5
2148	2163	2148,2153	5
2680	2193	2680	5
2148	2165	2148,2150	5
3807	1426	3807	5
183	4273	183,1637,4271	5
1111	3555	1111,1361,1583	5
1064	1064		5
2340	3054	2340	5
2805	2805		5
1783	1783		5
3392	1972	3392	5
337	3642	337	5
3022	3022		5
1295	4159	1295	5
176	4295	176,2565	5
710	710		5
917	917		5
1420	1417		5
1551	2998	1551,1767	5
2908	2644	2908	5
418	4697	418	5
1470	1487		5
1901	1901		5
3809	3825	3824	5
2704	2706		5
745	745		5
4606	4608		5
2148	2157	2150	5
670	670		5
968	968		5
807	807		5
2533	2533		5
743	743		5
3701	2033		5
718	718		5
4739	4739		5
818	818		5
1535	478		5
1947	1947		5
4663	4663		5
405	4244	4056	5
13	1441	13,60,347,394	5
3327	4256	3180	5
1734	5	1734	4
2270	2270		4
176	2559	176,487,1248	4
1524	4071	1524	4
139	3698	139	4
93	4770	93	4
1470	1472	1470	4
2449	1210	2449	4
1936	4004	1936	4
277	277		4
35	3666	35	4
1006	1006		4
1027	4049	1027,3961	4
1235	4175	1235	4
2838	413	2838,2840	4
2468	2430	2468	4
190	1707	190	4
924	924		4
2724	2726	2724	4
604	604		4
2148	2159	2148,2151	4
2585	2587	2585	4
284	4746	284,4744	4
3624	3623	3624	4
1551	3400	1551,3401	4
1751	1751		4
2740	2741	2740	4
1535	4277	478,1535	4
3327	3176	1090,1328,3327	4
2134	2140	2134,2136	4
3726	3726		4
1551	2999	1551,1767	4
35	3664	35	4
2220	4265	1139,2220	4
2220	4254	1139,2220	4
2220	4263	1139,1324,2220	4
3621	3614	3618	4
210	4392	210,1865	4
1470	1485		4
190	1706	190	4
2908	2643	2908	4
942	942		4
2469	2469		4
704	704		4
2214	1397	2214	4
3724	3730	3742	4
1831	2075	118,125,1831,3487	4
1111	3541	1111,1583,2934	4
1194	2986	3026	4
928	928		4
13	1964	1813,1961	4
1899	1899		4
1550	1781	1550	4
705	705		4
1470	1480		4
840	840		4
1194	2975	3026	4
688	688		4
287	287		4
730	730		4
759	759		4
776	776		4
652	652		4
3701	3701		4
405	4242	4240	4
929	929		4
957	957		4
958	958		4
3808	3808		4
2215	3834	2215	4
647	647		4
4137	4138	4137	4
262	1425	262	4
405	4243		4
2469	2477		4
3436	3438		4
2218	1682	1377,2218	4
513	383	513	4
3378	3374	3379	4
189	4398	189,1976	4
712	712		4
3309	3309		4
641	641		4
2220	4307	1139,1324	4
2220	4307	1139,1324,2220	4
1948	2753	1948	3
4776	366	4776,4777	3
3378	3375	3378,3379	3
1084	1084		3
176	4033	176,2565,4029	3
1310	2519	382,1310	3
284	4747	284,4744	3
1470	404	1470	3
1831	3685	1831,3677	3
4776	2443	4776,4779	3
2218	3837	2218	3
505	4783	505	3
4134	4134		3
408	4781	408	3
945	945		3
405	4056	405	3
2219	3850	2219	3
3327	4301	1090,2960,3327	3
11	3576	11,282,1675,3305	3
3853	3321	3853	3
4494	4494		3
2214	3287	1254,2214	3
411	4723	411	3
3748	3748		3
2724	2725	2724	3
1295	2985	1295,3027	3
3536	3537	3536	3
99	234	99	3
1213	1915	1213	3
2102	2102		3
13	318	13,347	3
337	3645	337	3
2215	3831	2215	3
11	1849	11	3
2901	3580	494,2901	3
1551	2002	1551,2930	3
1146	3476	1146	3
1091	4222	1091,4219	3
330	43	330	3
520	520		3
2520	2521		3
845	845		3
4501	4501		3
2586	2690	2586,2605	3
3327	3185	3180,3183,3327	3
732	732		3
1470	1478		3
3803	3803		3
3766	3766		3
375	4535	474,4534	3
729	729		3
1945	1945		3
851	851		3
2220	4266	1139	3
129	4564		3
13	3335	60,347	3
1841	1841		3
1674	4804		3
2652	3523	2652	3
998	998		3
972	972		3
2216	1719		3
701	701		3
703	703		3
2692	2692		3
741	741		3
621	621		3
4102	4102		3
4820	4820		3
11	373	11,1498,1540	3
337	3644		3
1535	4276	478,1535	3
15	4520		3
2219	3852		3
3389	3388	3389	3
990	990		3
2427	2427		3
1690	1690		3
3809	3812	3809	3
4417	4420		3
490	4514		3
3701	2034		3
1368	3433	1191,1368	3
11	3702	2105,2204	3
254	4669	254,2463	3
800	800		3
978	978		3
3917	3917		3
1592	1592		3
1831	2385	118,1831,2495,3487	2
395	4087	395	2
3378	3374	3378,3379	2
1368	1191	1368	2
2932	4691	2932	2
1908	4423	1908	2
358	2831	202,358,2569	2
270	3990	270	2
67	2265	67	2
3815	3817	3815	2
13	4556	13,60,347,4313,4555	2
2724	2734	2724,2727	2
1551	3784	1551,3782	2
2468	2473	2468	2
3620	3617	3620	2
2484	3881	2484	2
405	4245	405,4056	2
1604	3421	1604	2
324	1726	324,1725	2
3132	3133	3132	2
3127	3127		2
1551	3789	1551	2
324	3657	324,1725	2
608	608		2
778	778		2
3327	3206	1090,3327	2
2214	1288	2214	2
1194	2974	1194,3026	2
3194	3267	3194,3201	2
4632	4633	4632	2
245	1999	245	2
80	1856	80	2
216	241	216	2
2991	2914	2991	2
2134	2169	2134,2136	2
1551	3548	1551	2
3724	3732	3724,3743	2
1551	3780	1551,2738,3401	2
636	636		2
1551	2930	1551	2
79	1402	79	2
2586	2598	2586	2
1715	4393	1715	2
93	4001	93,2562	2
1027	3963	1027	2
358	2830	202,358,2569	2
3809	3825	3809,3824	2
3620	3619	3617,3620	2
3391	3605		2
4125	4125		2
1079	1079		2
1936	4006	1936,4004	2
1027	4050		2
1470	404		2
3258	1432	1419,3258	2
2469	2479		2
1295	3243	1295,3241	2
2854	2854		2
1470	1481		2
3275	3275		2
270	3081	270	2
891	891		2
763	763		2
2586	2599	2586	2
872	872		2
3883	3884		2
3997	4369	3997	2
2066	2066		2
337	3639	337	2
2214	3288	1254	2
75	4172	4173	2
3874	3874		2
1295	2969	3027	2
1514	1514		2
13	4556	60,347,4313,4555	2
1535	3857	3854	2
751	751		2
2215	3833	2215	2
3258	1431	1419,3258	2
3327	4256	3180,3327	2
1535	3855	478,1535	2
81	4725	81,4724	2
3701	2033	3701	2
3262	3262		2
2148	2167	2148,2152	2
3894	3894		2
651	651		2
2586	2597	2586	2
1784	1784		2
1368	3433	1191	2
4097	4230	4097	2
4462	4462		2
2214	3287	1254	2
1908	1762	274,1908	2
3144	3144		2
617	617		2
4703	4703		2
2296	2296		2
2751	2751		2
1815	1815		2
720	720		2
2220	4266	1139,2220	2
3258	4304	1419,1428,4299	2
2901	2580	494	2
189	1791	189,1731,1732,1790,3684	1
1470	1471	1470	1
349	4249	349	1
2067	4094	2067	1
11	1695	11,215,1366	1
405	4280	405	1
1194	3252	1194,3026	1
13	3025	13,348	1
1492	2244	1492	1
1470	1478	1470	1
1026	4522	1026	1
2219	3848	2219	1
2147	1628	2147	1
1491	1752	1491	1
686	686		1
11	1170	11,215,1366	1
3327	3329	3180,3327	1
791	791		1
2340	3056	2340	1
1194	2972	1194,3026	1
1491	1993	1491	1
270	2095	270,3136	1
3378	3377	3378,3380	1
7	1046	7	1
1194	2973	1194,3026	1
1908	1809	274,1728,1908	1
3410	4772	144,3410	1
189	4399	189,1976	1
1551	3559	1551	1
270	3311	270,3136	1
2147	2248	1904,2147	1
1551	3546	1551	1
11	4261	11,215,1258,1366,1697,3048,3049	1
3724	3730	3724,3742	1
835	835		1
625	625		1
1871	4689	1871,2349,4687	1
148	1128	148	1
324	3324	324,1723,3325	1
337	3646	337	1
1091	4221	1091,4219	1
1091	4220	1091,4219	1
2806	2806		1
2843	2849	2843,2846	1
1908	1810	274,1763,1908	1
1551	3560	1551	1
3916	3428	3916	1
2468	2032	2468	1
2468	2041	2468	1
324	1745	324,1744	1
3621	3614	3618,3621	1
1295	3239	1295,3238	1
4765	4765		1
	3629		1
1535	3854	1535	1
262	340	262	1
754	754		1
1941	1941		1
2617	2617		1
1946	1946		1
1944	1944		1
1943	1943		1
3194	3895	3194	1
4103	4103		1
11	2206	11,2105	1
2070	2070		1
3410	3493	3543	1
1470	1484		1
795	795		1
1111	2713	1111,1583,2709,3681	1
692	692		1
4024	4288		1
950	950		1
770	770		1
2717	2717		1
868	868		1
690	690		1
84	4303		1
774	774		1
4019	4019		1
948	948		1
75	4172	75,4173	1
1551	3781	1551,2738,3401	1
2449	4218		1
870	870		1
2468	3119		1
3141	3141		1
3872	3872		1
1004	1004		1
1535	3857	1535,3854	1
4024	4598	4065	1
3997	4063		1
93	4509		1
971	971		1
3997	3995		1
2305	2305		1
3689	3689		1
769	769		1
162	1457	162	1
2267	2267		1
3910	3911		1
3941	3941		1
1420	1417	1420	1
3703	3703		1
1831	3444	118	1
4589	4589		1
375	4535	375,474,4534	1
626	626		1
1524	2116		1
3139	3139		1
2808	2808		1
3634	3634		1
1093	1239	1093	1
2367	2367		1
13	3441	60,347,2404,4146	1
2449	3069	496,2449	1
2468	3120		1
4592	4592		1
4430	4431		1
1871	4690	1871,2349,4687	1
2724	2730	2724	1
3364	3492	3364	1
3194	3266	3201	1
3877	3877		1
1368	3432	1191	1
405	4641	405,3986,4280	1
2469	2478		1
3985	3985		1
2217	1720		1
1295	3240	1295,3238	1
2219	2120	1355,2219	1
1111	1361	1111,1583	1
654	654		1
11	1380	2276,3305	1
746	746		1
3800	3800		1
1524	4085	1524,4071	1
3327	4302	1090,2960,4301	1
2520	2520		1
129	2856	129,2286	1
4776	4779	4776	1
2704	2706	2704	1
112	2038	112	1
1831	3447	118,3444,3446	1
3364	3369		1
2148	2167	2152	1
801	801		1
3153	3153		1
603	603		1
592	592		1
287	4597		1
1365	1365		1
3993	3993		1
1956	1956		1
1949	1949		1
760	760		1
110	3040	1228	1
4270	4270		1
3792	3794		1
2301	2301		1
628	628		1
875	875		1
758	758		1
571	571		1
615	615		1
798	798		1
827	827		1
2219	3347	1344,2219	1
2219	3346	1344,2219	1
926	926		1
780	780		1
4137	4137		1
3945	3945		1
1519	1519		1
3991	3991		1
772	772		1
4631	3863		1
2220	4264	1139,2220,4254	1
13	3335	13,60,347	1
